metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.5,29.388888888888886,21.888888888888886,wave1_empirical_residual_median,287,29.388888888888886,48.96666666666667,
Output_mean,80.0,10.0,15.0,34.448195868485634,19.448195868485634,wave1_empirical_residual_median,287,34.448195868485634,56.75563650449835,
Consumption_mean,80.0,10.0,15.0,39.98193576408972,24.98193576408972,wave1_empirical_residual_median,287,39.98193576408972,60.695490252946,
AvgPrice_mean,1.05,0.05,0.1,0.2219426501993007,0.1219426501993007,wave1_empirical_residual_median,287,0.2219426501993007,0.3334348884996939,
DefaultsHH_rate,0.004,0.002,0.003,0.0018148148148148667,-0.0011851851851851333,wave1_empirical_residual_median,287,0.0018148148148148667,0.0027037037037037,
BankFailed_share,0.0,0.01,0.01,1e-09,-0.009999999,wave1_empirical_residual_median,287,0.0,0.0,
BankResolved_share,0.05,0.03,0.05,0.05,0.0,wave1_empirical_residual_median,287,0.05,0.07962962962962962,
BankResolutionHaircut_mean,0.02,0.01,0.02,0.010273214190115367,-0.009726785809884633,wave1_empirical_residual_median,287,0.010273214190115367,0.017872641541026534,
BankBailedOut_share,0.02,0.02,0.03,0.012592592592592634,-0.017407407407407365,wave1_empirical_residual_median,287,0.012592592592592634,0.02,
BankBailoutAmount_mean,0.2,0.2,0.3,0.2,-0.09999999999999998,wave1_empirical_residual_median,287,0.2,0.31100090289504295,
Transfers_mean,6.5,2.0,3.0,3.1075784442074585,0.10757844420745855,wave1_empirical_residual_median,287,3.1075784442074585,4.724047168375514,
HH_Deposit_mean,1.5,1.0,1.5,1.36737899294621,-0.1326210070537901,wave1_empirical_residual_median,287,1.36737899294621,1.497127489628117,
Bank_Equity_mean,10.0,7.5,10.0,7.537240556342432,-2.4627594436575677,wave1_empirical_residual_median,287,7.537240556342432,8.212971432923862,
