metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.5,30.950000000000003,23.450000000000003,wave1_empirical_residual_median,297,30.950000000000003,47.33333333333333,
Output_mean,80.0,10.0,15.0,34.75684544673074,19.756845446730743,wave1_empirical_residual_median,297,34.75684544673074,56.5762697689552,
Consumption_mean,80.0,10.0,15.0,41.28882451321851,26.288824513218508,wave1_empirical_residual_median,297,41.28882451321851,58.2669006080104,
AvgPrice_mean,1.05,0.05,0.1,0.228902743289918,0.128902743289918,wave1_empirical_residual_median,297,0.228902743289918,0.34949335521199654,
DefaultsHH_rate,0.004,0.002,0.003,0.0017777777777778503,-0.0012222222222221498,wave1_empirical_residual_median,297,0.0017777777777778503,0.0029444444444445004,
BankFailed_share,0.0,0.01,0.01,1e-09,-0.009999999,wave1_empirical_residual_median,297,0.0,0.0,
BankResolved_share,0.05,0.03,0.05,0.05,0.0,wave1_empirical_residual_median,297,0.05,0.0833333333333333,
BankResolutionHaircut_mean,0.02,0.01,0.02,0.010779666593342733,-0.009220333406657268,wave1_empirical_residual_median,297,0.010779666593342733,0.018635006304619266,
BankBailedOut_share,0.02,0.02,0.03,0.012592592592592634,-0.017407407407407365,wave1_empirical_residual_median,297,0.012592592592592634,0.02,
BankBailoutAmount_mean,0.2,0.2,0.3,0.2,-0.09999999999999998,wave1_empirical_residual_median,297,0.2,0.30343085190748303,
Transfers_mean,6.5,2.0,3.0,3.1490491548589787,0.14904915485897874,wave1_empirical_residual_median,297,3.1490491548589787,4.663901984381328,
HH_Deposit_mean,1.5,1.0,1.5,1.3530160421626405,-0.1469839578373595,wave1_empirical_residual_median,297,1.3530160421626405,1.4974902959798357,
Bank_Equity_mean,10.0,7.5,10.0,7.537556891314802,-2.462443108685198,wave1_empirical_residual_median,297,7.537556891314802,8.266428247194598,
