component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,314,0,0.0,0.0,0.0,3,3
CU,0.2,314,0,0.0,0.0,0.0,3,3
CU,0.3,314,0,0.0,0.0,0.0,3,3
CU,0.4,314,0,0.0,0.0,0.0,3,3
EV,0.1,314,0,0.0,0.0,0.0,3,3
EV,0.2,314,0,0.0,0.0,0.0,3,3
EV,0.3,314,0,0.0,0.0,0.0,3,3
EV,0.4,314,0,0.0,0.0,0.0,3,3
MD,0.1,314,0,0.0,0.06687898089171974,0.03343949044585987,1,1
MD,0.2,314,6,0.01910828025477707,0.06687898089171974,0.03343949044585987,1,1
MD,0.3,314,15,0.04777070063694268,0.06687898089171974,0.03343949044585987,1,1
MD,0.4,314,21,0.06687898089171974,0.06687898089171974,0.03343949044585987,1,1
OU,0.1,314,0,0.0,0.009554140127388535,0.0023885350318471337,2,2
OU,0.2,314,0,0.0,0.009554140127388535,0.0023885350318471337,2,2
OU,0.3,314,0,0.0,0.009554140127388535,0.0023885350318471337,2,2
OU,0.4,314,3,0.009554140127388535,0.009554140127388535,0.0023885350318471337,2,2
