metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,33.2,,0.9,25.0,1102.2400000000002,27.230499999999992,seed_replicates,117,True,
Output_mean,80.0,10.0,61.24655099783368,,0.9,100.0,3751.1400091302417,72.29758445329894,seed_replicates,117,True,
Consumption_mean,80.0,10.0,42.36096106536861,,0.9,100.0,1794.4510223816756,44.382797001210164,seed_replicates,117,True,
AvgPrice_mean,1.05,0.05,0.2225162329345921,,0.9,0.0025000000000000005,0.049513473919401654,0.0003810045842175062,seed_replicates,117,True,
DefaultsHH_rate,0.004,0.002,0.0029444444444443997,,0.9,4e-06,8.66975308641949e-06,7.398148148147813e-07,seed_replicates,117,True,
BankFailed_share,0.0,0.01,1e-09,,0.9,0.0001,1e-18,0.0,seed_replicates,117,True,
BankResolved_share,0.05,0.03,0.05,,0.9,0.0009,0.0025000000000000005,0.0006481481481481483,seed_replicates,117,True,
BankResolutionHaircut_mean,0.02,0.01,0.016420104782271166,,0.9,0.0001,0.0002696198410607644,5.6150883646504455e-05,seed_replicates,117,True,
BankBailedOut_share,0.02,0.02,0.02,,0.9,0.0004,0.0004,2.3148148148148523e-05,seed_replicates,117,True,
BankBailoutAmount_mean,0.2,0.2,0.2,,0.9,0.04000000000000001,0.04000000000000001,0.009971131681804213,seed_replicates,117,True,
Transfers_mean,6.5,2.0,4.747934779740492,,0.9,4.0,22.54288467266939,0.40059276033942887,seed_replicates,117,True,
HH_Deposit_mean,1.5,1.0,1.5,,0.9,1.0,2.25,0.4039164701551757,seed_replicates,117,True,
Bank_Equity_mean,10.0,7.5,4.422637266114357,,0.9,56.25,19.559720387623475,22.98583325252113,seed_replicates,117,True,
PriceDispersion_mean,0.1,0.06,0.04363221988430901,,0.9,0.0036,0.0019037706120326903,0.0003995526015439258,seed_replicates,117,False,
InventoryGap_mean,0.0,0.25,0.08567710851856802,,0.9,0.0625,0.007340566924102482,0.03664324609586506,seed_replicates,117,False,
CreditRejections_mean,1.0,1.0,99.89999999999999,,0.9,1.0,9980.009999999998,16.414500000000018,seed_replicates,117,False,
FirmDowntimeShare_mean,0.05,0.04,0.05,,0.9,0.0016,0.0025000000000000005,0.0,seed_replicates,117,False,
