metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,11.431455902417342,11.431455902417342,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,21.088471292376223,21.088471292376223,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,14.585766819360819,14.585766819360819,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.07661700314348843,0.07661700314348843,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.001013833940475418,0.001013833940475418,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,1e-09,1e-09,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.017216048045809246,0.017216048045809246,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.00565378625697605,0.00565378625697605,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.006886419218323698,0.006886419218323698,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.06886419218323699,0.06886419218323699,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,1.6348134657276208,1.6348134657276208,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.5164814413742775,0.5164814413742775,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,1.522806713252225,1.522806713252225,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.015023487877471545,0.015023487877471545,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.029500424333633587,0.029500424333633587,0.0,fixed_baseline,0,,,
CreditRejections_mean,1.0,1.0,34.39766399552686,34.39766399552686,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.017216048045809246,0.017216048045809246,0.0,fixed_baseline,0,,,
