metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,13.568029799481346,,0.9,25.0,184.09143263961383,17.875833333333333,seed_replicates,120,True,
Output_mean,80.0,10.0,25.0299707546404,,0.9,100.0,626.4994359781537,39.64966408808739,seed_replicates,120,True,
Consumption_mean,80.0,10.0,17.31189102619248,,0.9,100.0,299.7015709027637,33.23256910149113,seed_replicates,120,True,
AvgPrice_mean,1.05,0.05,0.09093695419653249,,0.9,0.0025000000000000005,0.008269529638542248,0.0003378122160516262,seed_replicates,120,True,
DefaultsHH_rate,0.004,0.002,0.0012033225893114128,,0.9,4e-06,1.447985253947123e-06,2.6319444444444596e-07,seed_replicates,120,True,
BankFailed_share,0.0,0.01,1e-09,,0.9,0.0001,1e-18,0.0,seed_replicates,120,True,
BankResolved_share,0.05,0.03,0.020433779818496003,,0.9,0.0009,0.00041753935767077454,0.00048611111111110996,seed_replicates,120,True,
BankResolutionHaircut_mean,0.02,0.01,0.006710496114351243,,0.9,0.0001,4.503075810072313e-05,4.503033269001656e-05,seed_replicates,120,True,
BankBailedOut_share,0.02,0.02,0.008173511927398399,,0.9,0.0004,6.680629722732389e-05,2.3148148148147964e-05,seed_replicates,120,True,
BankBailoutAmount_mean,0.2,0.2,0.08173511927398401,,0.9,0.04000000000000001,0.006680629722732393,0.0029423929253511154,seed_replicates,120,True,
Transfers_mean,6.5,2.0,1.94036507763593,,0.9,4.0,3.765016634509089,0.2983109894607916,seed_replicates,120,True,
HH_Deposit_mean,1.5,1.0,0.61301339455488,,0.9,1.0,0.375785421903697,0.29407193499039125,seed_replicates,120,True,
Bank_Equity_mean,10.0,7.5,1.8074239222571178,,0.9,56.25,3.2667812347473038,20.087826304702862,seed_replicates,120,True,
PriceDispersion_mean,0.1,0.06,0.017831423482163464,,0.9,0.0036,0.0003179596634002506,0.00026139636818806847,seed_replicates,120,False,
InventoryGap_mean,0.0,0.25,0.03501414341907614,,0.9,0.0625,0.001225990239371633,0.014179107390927388,seed_replicates,120,False,
CreditRejections_mean,1.0,1.0,40.826692077355,,0.9,1.0,1666.8187859791615,9.989333333333363,seed_replicates,120,False,
FirmDowntimeShare_mean,0.05,0.04,0.020433779818496003,,0.9,0.0016,0.00041753935767077454,0.0,seed_replicates,120,False,
