metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.20068635932680745,3.977155989076031,0.35022920503339244,0.05189411515591006,0.23275854703799637,3.8965481050304236,0.3724728159122169,0.09632962319940776
UnemploymentRate_mean,False,,identity,0.20068635933673828,0.03977155989051324,0.35022920503318095,0.05189411515410374,0.23170103968334,0.03899232533348494,0.3742248214149896,0.0966505517031993
Output_mean,False,,identity,0.8460635520481877,5.300992669912007,0.8356917696971268,0.06477583762461281,0.846791555845732,5.288442957420955,0.8815104292697595,0.011645226664941302
Consumption_mean,False,,identity,0.7616140137158852,5.104322938517628,0.7483574241928661,0.030399695168361916,0.7478362621088657,5.249755768152923,0.8090430759572822,0.019643154587998566
Transfers_mean,False,,identity,0.6676889774766758,0.5582433237201473,0.7659595447618626,0.03084274104176537,0.7820873276012096,0.45205617692721706,0.8257928953900345,0.013971785984759124
AvgPrice_mean,False,,identity,0.9840212285928552,0.015320379856010721,0.9850279303076255,0.0029190165185705424,0.9751304577032727,0.01911312665799698,0.9832201208835765,0.003530213454925306
AvgMarkup_mean,False,,identity,0.6944636161805651,0.013857895011353415,0.6901132090000603,0.04423451249077208,0.7104196837378308,0.013491191866168458,0.6919024124588077,0.05506952511172092
PriceDispersion_mean,False,,identity,0.7269103291150514,0.013104825708496885,0.6953024527027256,0.07708121510390623,0.7189934794808706,0.01329342259179996,0.7111312464630712,0.028702951566365542
InventoryGap_mean,False,,identity,0.4294248492514532,0.1184724336211641,0.5232222217207833,0.04622108950959833,0.4491812234131193,0.11640328884322886,0.5272895251269742,0.07474321201869473
SalesForecastError_mean,False,,identity,0.4602114367984993,0.010142975748132185,0.45176187082174757,0.0764774389909872,0.5359523181588373,0.009404481392335,0.49238208442915293,0.06678027070383628
InventoryTurnover_mean,False,,identity,0.7572765110088595,0.05965424893628597,0.8119757678486513,0.02796708198163053,0.7730487417708761,0.057683522948753216,0.8313073710094161,0.03150128991065417
CreditRejections_mean,False,,identity,0.5939243698351424,2.982500674102483,0.5861447332801765,0.08866510412026242,0.6866598159624215,2.6199025290770352,0.6013937214551626,0.11591327041094548
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.1517891521323651,0.5250072506422149,0.3244258249321681,0.11256577964084889,0.10148082547207993,0.5403523752065316,0.3407185573959297,0.1604628385467062
HH_Debt_mean,False,,log1p,0.1321511738864427,38.34096983138285,0.2455757040935702,0.07658712725621476,0.4194854097675429,31.35794713857916,0.39330227859314626,0.09889415187820123
HH_Deposit_mean,False,,log1p,0.5628308710104454,0.4403376583232719,0.6397312499858969,0.14961226617231907,0.8443942519034414,0.26270836606004905,0.8023880304330845,0.04682038069332021
Firm_Debt_mean,False,,log1p,-0.2057844362892296,0.01830360459469997,-0.9325525795807031,1.8234829055867001,-4.583847706866868,0.0393884209664748,-295.0171242620239,589.6261805500095
Bank_Equity_mean,False,,log1p,0.09657968756065094,7.443617808520812,0.1882209354421986,0.06493413364953132,0.4912972154517803,5.58561757793864,0.43256469059083696,0.10144447557157886
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.3306850108031585,0.03221570099587844,0.33865132218137617,0.04310332281574108,0.4007116080997114,0.03048387997863065,0.33825077416284915,0.05531168637798263
BankResolutionAmount_mean,False,,identity,0.31812516194107365,0.40376553052193576,0.3576716977690976,0.05369810517266385,0.4073898879220331,0.3764102463813841,0.36603404965858155,0.05367329812212387
BankResolutionHaircut_mean,False,,identity,0.8303723073184153,0.0069130860331437696,0.8707316159557239,0.0350998881888873,0.8890724375649179,0.005590405610982988,0.8922755182481203,0.02551169071687183
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.8270006734461723,0.0769835819193588,0.8441468739922519,0.03530044016849,0.8015284939747722,0.08245651785534715,0.7579049863059568,0.12447698649740481
Defaults_mean,False,,identity,0.30661640054153383,0.10344355773157791,0.387898626342579,0.038304745797800806,0.35305287431374854,0.09991968588641523,0.39749190054034333,0.03312743027195053
DefaultsHH_mean,False,,identity,0.30661640054153383,0.10344355773157791,0.387898626342579,0.038304745797800806,0.35305287431374865,0.09991968588641521,0.3974919005403434,0.033127430271950545
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.9727986696432149,0.0004472593422733239,0.9200303793558111,0.04177261527435641,0.9734469757788806,0.0004418972960523157,0.9559501480829287,0.01857092717744035
DefaultsFirm_rate,False,,identity,0.3600420861711847,0.00046608427115012743,0.4558951010160034,0.1390965138647375,0.43958511113559373,0.00043615772873180445,0.46296103363133245,0.13302047166671105
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.7479830735764061,0.028361495375484016,0.8312966905256681,0.046746201210245336,0.8995175566498977,0.017908506284715388,0.8869257711572323,0.016854506990484665
BankBailedOut_share,False,,identity,0.7043750737362299,0.004520870105093133,0.7081318210565728,0.04410417461137461,0.7082738253251588,0.004490960163194098,0.690887216188736,0.06527005544064599
