metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,12.990290798201524,12.990290798201524,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,23.964171923154797,23.964171923154797,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,16.57473502200093,16.57473502200093,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.08706477629941867,0.08706477629941867,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0011520840232675206,0.0011520840232675206,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,1.1200000000000003e-09,1.1200000000000003e-09,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.019563690961146872,0.019563690961146872,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.006424757110200057,0.006424757110200057,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.007825476384458747,0.007825476384458747,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.07825476384458749,0.07825476384458749,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,1.857742574690478,1.857742574690478,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.5869107288344063,0.5869107288344063,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,1.7304621741502555,1.7304621741502555,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.017072145315308575,0.017072145315308575,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.033523209470038166,0.033523209470038166,0.0,fixed_baseline,0,,,
CreditRejections_mean,1.0,1.0,39.08825454037144,39.08825454037144,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.019563690961146872,0.019563690961146872,0.0,fixed_baseline,0,,,
