param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.45,0.85,0.5227660132842603,0.834362857875731,0.5286235232734704,0.8102874957549414,22.100788852132336
alpha_std,0.03,0.13,0.0479268113815314,0.1286904496734524,0.0496152443662326,0.1249975085775604,19.23636170807902
wage,0.9,1.45,0.9481619609017996,1.4239537383513912,0.9694366545852624,1.407603918099505,13.492404100074252
productivity,0.95,1.95,0.9637167923324276,1.874412595947725,0.9726383986144356,1.711841905921586,8.930419638470266
loan_rate,0.02,0.12,0.0231898024331926,0.1053574500488215,0.027748993013054953,0.10157134865191135,17.8323523843711
deposit_rate,0.001,0.028,0.0033396863789613,0.0257818605260102,0.0037050579271887003,0.0257376006390323,16.880836492411476
bank_credit_multiplier,6.0,20.0,6.451850857314583,19.586887614754165,7.553579211908891,19.076165733534708,6.178308875431549
hh_debt_cap_multiplier,2.5,8.0,3.0849621699754937,7.833941410957501,3.3392808688848192,7.811696067773098,13.654922891236222
firm_debt_cap_multiplier,1.8,8.0,1.9607040009082743,7.531406365631387,2.068334148240288,7.448845384524074,10.149961859304636
adaptation_rate,0.25,0.95,0.2500489213381108,0.8724459041137155,0.27345561368117,0.7694822295101252,11.086145317770757
price_elasticity,0.95,2.9,1.008514652342151,2.726050929143081,1.0305870961891341,2.507974217446781,11.921216574311288
skill_wage_weight,0.03,0.49,0.0370825081314748,0.4858060364679021,0.0937051555281888,0.48384235936915154,2.451406883385354
demand_smoothing,0.06,0.35,0.0603619234189705,0.3485663184238597,0.06421545365278115,0.3369533010279988,0.6191741362450931
price_adjust_speed,0.08,0.45,0.1126167217666418,0.4426512171155664,0.11633054127953779,0.43431311015359886,10.801487743533889
price_stickiness,0.45,0.9,0.4655650719942945,0.8863632946990658,0.4716767731074801,0.8806855401076585,6.4892838433841415
max_price_step,0.04,0.22,0.0449967992014102,0.2058851947908789,0.04741049917002875,0.18858997509080017,10.617558005850714
inventory_target_days,0.8,2.8,0.8532522870464048,2.587042443295834,0.8719920763823288,2.552045344959453,13.310492187528522
demand_expectation_memory,0.15,0.65,0.1840408144690969,0.608315481185231,0.188470837306411,0.6022034858371231,15.145066656773176
max_hire_per_step,3.0,12.0,3.0766767042078147,11.80642520471002,3.368667480680094,11.732252510305342,3.0027944388643757
max_fire_per_step,3.0,12.0,3.0430865348858704,11.46932321274369,3.089983973928926,11.323008208423015,6.375148023802013
hh_max_dsr,0.3,1.0,0.3008483542561101,0.9626244970858372,0.31516757887753916,0.9497242065119932,5.4605510243247
firm_max_dsr,0.8,3.5,0.9061059259407452,3.2160496770991296,0.9756004617837596,3.031615554726605,14.446527734874659
firm_reentry_lag,0.0,4.0,0.1233356917690901,3.911879732364159,0.6020374332632268,3.873203982960836,5.2863989851232756
firm_reentry_cash_fraction,0.2,0.85,0.2232358118043759,0.7860132125343104,0.24281635859526365,0.7480452966472517,13.418861426163907
consumption_memory,0.15,0.75,0.1906662056346925,0.6922228267203462,0.1935310392698789,0.6828380269890223,16.40722981905771
precautionary_saving,0.03,0.35,0.0523218499753252,0.3455537797577177,0.0552835848701111,0.3123044685575242,8.365021943002315
consumption_floor_prop,0.0,0.35,0.0319926941619653,0.3448715472446896,0.06645952181613375,0.33531072419262,10.606041976364489
consumption_ceiling_prop,1.0,2.8,1.1600027923743332,2.786131581986255,1.1699583731533456,2.7676515940094086,9.659511688226562
unemployed_consumption_penalty,0.05,0.45,0.0885615970066819,0.4414102267047636,0.0992984646863871,0.42097047434051604,11.787842575479567
unemployment_transfer,0.0,0.25,0.0175483734356989,0.2393456284726027,0.03670621867721995,0.22817039706425507,11.281097985238475
