component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,219,9,0.0410958904109589,0.0821917808219178,0.06164383561643835,2,2
CU,0.2,219,12,0.0547945205479452,0.0821917808219178,0.06164383561643835,2,2
CU,0.3,219,15,0.0684931506849315,0.0821917808219178,0.06164383561643835,2,2
CU,0.4,219,18,0.0821917808219178,0.0821917808219178,0.06164383561643835,2,2
EV,0.1,219,0,0.0,0.0410958904109589,0.010273972602739725,3,3
EV,0.2,219,0,0.0,0.0410958904109589,0.010273972602739725,3,3
EV,0.3,219,0,0.0,0.0410958904109589,0.010273972602739725,3,3
EV,0.4,219,9,0.0410958904109589,0.0410958904109589,0.010273972602739725,3,3
MD,0.1,219,3,0.0136986301369863,0.2054794520547945,0.09931506849315068,1,1
MD,0.2,219,9,0.0410958904109589,0.2054794520547945,0.09931506849315068,1,1
MD,0.3,219,30,0.136986301369863,0.2054794520547945,0.09931506849315068,1,1
MD,0.4,219,45,0.2054794520547945,0.2054794520547945,0.09931506849315068,1,1
OU,0.1,219,0,0.0,0.0136986301369863,0.00684931506849315,4,4
OU,0.2,219,0,0.0,0.0136986301369863,0.00684931506849315,4,4
OU,0.3,219,3,0.0136986301369863,0.0136986301369863,0.00684931506849315,4,4
OU,0.4,219,3,0.0136986301369863,0.0136986301369863,0.00684931506849315,4,4
