component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,102,3,0.029411764705882353,0.20588235294117646,0.14705882352941177,2,2
CU,0.2,102,18,0.17647058823529413,0.20588235294117646,0.14705882352941177,2,2
CU,0.3,102,18,0.17647058823529413,0.20588235294117646,0.14705882352941177,2,2
CU,0.4,102,21,0.20588235294117646,0.20588235294117646,0.14705882352941177,2,2
EV,0.1,102,6,0.058823529411764705,0.11764705882352941,0.10294117647058823,3,3
EV,0.2,102,12,0.11764705882352941,0.11764705882352941,0.10294117647058823,3,3
EV,0.3,102,12,0.11764705882352941,0.11764705882352941,0.10294117647058823,3,3
EV,0.4,102,12,0.11764705882352941,0.11764705882352941,0.10294117647058823,3,3
MD,0.1,102,12,0.11764705882352941,0.29411764705882354,0.19117647058823528,1,1
MD,0.2,102,15,0.14705882352941177,0.29411764705882354,0.19117647058823528,1,1
MD,0.3,102,21,0.20588235294117646,0.29411764705882354,0.19117647058823528,1,1
MD,0.4,102,30,0.29411764705882354,0.29411764705882354,0.19117647058823528,1,1
OU,0.1,102,6,0.058823529411764705,0.11764705882352941,0.09558823529411764,3,4
OU,0.2,102,9,0.08823529411764706,0.11764705882352941,0.09558823529411764,3,4
OU,0.3,102,12,0.11764705882352941,0.11764705882352941,0.09558823529411764,3,4
OU,0.4,102,12,0.11764705882352941,0.11764705882352941,0.09558823529411764,3,4
