metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,11.631455109120006,11.631455109120006,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,23.262910218240012,23.262910218240012,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,23.262910218240012,23.262910218240012,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.1357003096064001,0.1357003096064001,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.005287025049600002,0.005287025049600002,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.01762341683200001,0.01762341683200001,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.08811708416000004,0.08811708416000004,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.03524683366400002,0.03524683366400002,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.052870250496000026,0.052870250496000026,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.4088632705024001,0.4088632705024001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,4.088632705024002,4.088632705024002,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,2.044316352512001,2.044316352512001,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,13.640524627968007,13.640524627968007,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.12,0.12,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.35,0.35,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,20.0,20.0,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.07,0.07,0.0,fixed_baseline,0,,,
