metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.35210357704750006,3.774668463335022,0.2913871482363603,0.08052000248767736,0.3772878886889056,3.7005789819495063,0.31127377996127503,0.09489936108113324
UnemploymentRate_mean,False,,identity,0.35210357704750006,0.0377466846333502,0.29138714823636025,0.0805200024876774,0.37547778337135285,0.03705953517680814,0.3120456156460272,0.09378008143387774
Output_mean,False,,identity,0.7973303193236799,7.455144536068,0.850859537860629,0.04167710203003972,0.8893802170801998,5.507798926290149,0.898961220632704,0.013194831418514892
Consumption_mean,False,,identity,0.6804563886221994,6.003507973909054,0.7822498479994788,0.013780697413862534,0.7855006915835945,4.918729847646752,0.7771296937999737,0.02380256208889485
Transfers_mean,False,,identity,0.6761465922334022,0.5535370540991544,0.7570965226445385,0.04925307441702309,0.7786267109269271,0.457651690905026,0.777776746084865,0.021494580967028592
AvgPrice_mean,False,,identity,0.9861043498984152,0.01618577278652288,0.9873049587430824,0.0018857253793363921,0.9789396935647094,0.019926285459440758,0.985600404566324,0.0018829898742247313
AvgMarkup_mean,False,,identity,0.3659319358573059,0.013377475982963943,0.4134666124566234,0.07577695853164303,0.3681089736901597,0.013354490822327028,0.44132131584227297,0.09812338684430374
PriceDispersion_mean,False,,identity,0.6377205877784731,0.016354186183387825,0.6512213012317629,0.08500750858157137,0.7189363008117506,0.01440487484642233,0.7357550979937485,0.027333594822369887
InventoryGap_mean,False,,identity,0.5341594627047108,0.08811191572736003,0.46189832932740327,0.09929946871478415,0.5340747449590173,0.0881199273782604,0.4602531341302013,0.09880445265190813
SalesForecastError_mean,False,,identity,0.2003587244925762,0.009615941524671342,0.22445455763154634,0.03581623354496705,0.250914110269597,0.009307006566292431,0.22793244120266873,0.047481953313482386
InventoryTurnover_mean,False,,identity,0.83201610599227,0.04401958024125172,0.8062906984413131,0.040675102998136065,0.841049414738866,0.04281965269048468,0.8265539969257858,0.045580494800485614
CreditRejections_mean,False,,identity,0.7681798881303892,5.008862108467067,0.8310108454427538,0.06369627691619502,0.8863184500005992,3.507587499042356,0.8910801246786516,0.012539211651838255
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.3452805965402188,0.48266432551459276,0.2789880337915765,0.05313140313828186,0.3468720141204241,0.4820773658017286,0.29204925975046947,0.06769913243705308
HH_Debt_mean,False,,log1p,0.15100128354600784,22.133072814300856,0.16429751419454175,0.04407923017850211,0.23098060613919402,21.064775849019803,0.192025761763078,0.12720992814498677
HH_Deposit_mean,False,,log1p,0.6932361061042636,1.7964229699662815,0.750597504535817,0.06482395053816536,0.8991686508999819,1.0299218398557777,0.8951745808404041,0.007510910873202628
Firm_Debt_mean,False,,log1p,-0.06341365333453974,2.252503525017231,-0.027223517310690903,0.02790833746628178,-0.7016955763641024,2.8494123233863227,-0.13421454855285436,0.5049687685846297
Bank_Equity_mean,False,,log1p,-0.051111132580907714,2.1244851562930007,-0.03658482736059354,0.029973895451476166,-0.2734745816399853,2.338430805425821,-0.28423286480270643,0.059977380912290344
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.40538207629137946,0.08015784292526147,0.37574016229348517,0.11378072641574341,0.49366828085718584,0.07396812174756047,0.40610684142205616,0.11051864450428094
BankResolutionAmount_mean,False,,identity,0.3496478203190835,1.0035475448945645,0.3246541284093786,0.09907796278834434,0.456583556721443,0.9173393864062842,0.3258153390422692,0.08465329788780576
BankResolutionHaircut_mean,False,,identity,0.7416461804081808,0.011531117687102244,0.7398104442511213,0.03476499610354098,0.7624217864062008,0.011057762744357444,0.7832378832799807,0.004856604532091118
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.8724703407776324,0.09937532674405514,0.7354010835583358,0.15583680836625263,0.8370098900598737,0.11234496062626058,0.7427796699177902,0.09982024775650178
Defaults_mean,False,,identity,0.4636511345461102,0.13894513882027346,0.281277979061476,0.06722874880779658,0.40513284380904835,0.1463287523023174,0.29462882292151427,0.08586036504770365
DefaultsHH_mean,False,,identity,0.32449045639419016,0.15593206074837598,0.2997682897249284,0.08836806640459263,0.40478331236424225,0.14637173583967603,0.2954582905627344,0.08594855086999637
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.8074948837978211,0.0007737657673628242,0.845658574074075,0.0317105156801721,0.8682175481333599,0.000640202204928,0.8602706585986855,0.01710640844445357
DefaultsFirm_rate,False,,identity,0.8393244765600951,0.0006279127101365561,0.7411401992053547,0.11105288970969672,0.8479561005227814,0.0006108139008118466,0.7714993974618297,0.07220529682785537
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.6678870914078363,0.039521147334769136,0.6874398917566972,0.048449536230838024,0.7215521837799531,0.03618749941929032,0.7269774471951876,0.046664712229425934
BankBailedOut_share,False,,identity,0.6370595014984207,0.007022471098357323,0.5829830644033941,0.08285604708207092,0.6279754406256244,0.0071098109058516865,0.6139774841930579,0.06338110188928604
