param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.45,0.85,0.549167961573555,0.6756622882192984,0.552486322532838,0.62681658834719,68.37641833856414
alpha_std,0.03,0.13,0.0580667535262054,0.1182726661590448,0.06135725086597422,0.11561412307557012,39.7940873671606
wage,0.9,1.45,1.0271302922553824,1.3449892265805437,1.0437936398519496,1.3313077524457635,42.20746648633432
productivity,0.95,1.95,1.0650541375404867,1.6486436448018496,1.0971438161685614,1.5949325704428499,41.641049273863715
loan_rate,0.02,0.12,0.036390301965788,0.0924567628037985,0.03853333184265803,0.08858229455748005,43.9335391619895
deposit_rate,0.001,0.028,0.0053050210990295,0.0236229187889759,0.005907820247674981,0.022741490995363572,32.15593448167999
bank_credit_multiplier,6.0,20.0,8.11494755025335,17.767674232658187,8.394871215331376,17.362320501773713,31.051952268536876
hh_debt_cap_multiplier,2.5,8.0,4.145778360405285,7.594886819478647,4.264663060702043,7.5083956900929145,37.28893710775705
firm_debt_cap_multiplier,1.8,8.0,2.706295568435814,6.694014404111124,2.95506544373224,6.506461615138323,35.68195426330145
adaptation_rate,0.25,0.95,0.3407105149660157,0.7080224576237331,0.35329224200177245,0.6982614295833037,47.5268653346118
price_elasticity,0.95,2.9,1.149251068530318,2.4053450105250453,1.257626437331097,2.346017352586813,35.58492605155244
skill_wage_weight,0.03,0.49,0.1262863029322858,0.4435856224585144,0.15836396700523397,0.4373809661640189,31.021887059515517
demand_smoothing,0.06,0.35,0.0926187657010328,0.2963700154966934,0.10322444732838401,0.28416351922961786,29.740948346323925
price_adjust_speed,0.08,0.45,0.171738505245152,0.4182745720253303,0.18130735722524877,0.3988688958604809,33.36863059995181
price_stickiness,0.45,0.9,0.4894011663139912,0.8143959623128836,0.5007564521284519,0.8057561000514702,27.778934222468365
max_price_step,0.04,0.22,0.0629418531596036,0.1783704984683712,0.07169086692997734,0.17439379827294021,35.872974828462446
inventory_target_days,0.8,2.8,1.1560771202113007,2.3703359680570486,1.192245824788683,2.3231831415153614,39.2870576077126
demand_expectation_memory,0.15,0.65,0.2243097417704709,0.5569918558462758,0.2402306977079829,0.5488168588556014,33.46357718483903
max_hire_per_step,3.0,12.0,4.066863518698604,10.876251601895952,4.250837123560257,10.510046620227527,24.340132408918357
max_fire_per_step,3.0,12.0,3.503899771635614,9.818264077551069,3.9073074233937852,9.518951703018567,29.8403966009394
hh_max_dsr,0.3,1.0,0.3745802207317176,0.8445159590892672,0.39603897812054395,0.8104921373116564,32.86632309177862
firm_max_dsr,0.8,3.5,1.212957740878258,2.759345375738709,1.2651064102098497,2.717839871212801,42.72638389405736
firm_reentry_lag,0.0,4.0,0.7328139264274552,3.5718211893861818,0.8231863363910472,3.419224596799403,29.02481842603184
firm_reentry_cash_fraction,0.2,0.85,0.2766144641155366,0.6919095938103728,0.2998336739040999,0.6752637134182702,36.108441585409814
consumption_memory,0.15,0.75,0.2424752256485509,0.6142055156696795,0.25746709716144556,0.5956065813835733,38.044951663145234
precautionary_saving,0.03,0.35,0.0815428057700111,0.2778030806357576,0.0911496163776205,0.26272008456370327,38.66866410445421
consumption_floor_prop,0.0,0.35,0.1021072030021821,0.305193775299823,0.10866012676405888,0.29888658447977773,41.97526505781688
consumption_ceiling_prop,1.0,2.8,1.3593614580809692,2.6317349452499306,1.4102723502822192,2.572046513064933,29.31258404616881
unemployed_consumption_penalty,0.05,0.45,0.1522215294646789,0.3841389873892548,0.1655748804757585,0.3746985191653116,42.02063551885603
unemployment_transfer,0.0,0.25,0.066512335366074,0.2100747328929381,0.07186799714477064,0.20613222408217963,42.575040989254354
