metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,10.088286696882838,10.088286696882838,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,20.176573393765675,20.176573393765675,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,20.176573393765675,20.176573393765675,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.11769667813029978,0.11769667813029978,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.004585584862219471,0.004585584862219471,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.015285282874064905,0.015285282874064905,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.07642641437032452,0.07642641437032452,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.03057056574812981,0.03057056574812981,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.045855848622194724,0.045855848622194724,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.35461856267830577,0.35461856267830577,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,3.5461856267830583,3.5461856267830583,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.7730928133915291,1.7730928133915291,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,11.830808944526238,11.830808944526238,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.12,0.12,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.35,0.35,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,20.0,20.0,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.07,0.07,0.0,fixed_baseline,0,,,
