component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,12,3,0.25,0.25,0.25,2,3
CU,0.2,12,3,0.25,0.25,0.25,2,3
CU,0.3,12,3,0.25,0.25,0.25,2,3
CU,0.4,12,3,0.25,0.25,0.25,2,3
EV,0.1,12,3,0.25,0.25,0.25,2,3
EV,0.2,12,3,0.25,0.25,0.25,2,3
EV,0.3,12,3,0.25,0.25,0.25,2,3
EV,0.4,12,3,0.25,0.25,0.25,2,3
MD,0.1,12,6,0.5,0.5,0.5,1,1
MD,0.2,12,6,0.5,0.5,0.5,1,1
MD,0.3,12,6,0.5,0.5,0.5,1,1
MD,0.4,12,6,0.5,0.5,0.5,1,1
OU,0.1,12,3,0.25,0.5,0.375,1,2
OU,0.2,12,3,0.25,0.5,0.375,1,2
OU,0.3,12,6,0.5,0.5,0.375,1,2
OU,0.4,12,6,0.5,0.5,0.375,1,2
