component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,33,0,0.0,0.09090909090909091,0.06818181818181818,2,3
CU,0.2,33,3,0.09090909090909091,0.09090909090909091,0.06818181818181818,2,3
CU,0.3,33,3,0.09090909090909091,0.09090909090909091,0.06818181818181818,2,3
CU,0.4,33,3,0.09090909090909091,0.09090909090909091,0.06818181818181818,2,3
EV,0.1,33,0,0.0,0.09090909090909091,0.06818181818181818,2,3
EV,0.2,33,3,0.09090909090909091,0.09090909090909091,0.06818181818181818,2,3
EV,0.3,33,3,0.09090909090909091,0.09090909090909091,0.06818181818181818,2,3
EV,0.4,33,3,0.09090909090909091,0.09090909090909091,0.06818181818181818,2,3
MD,0.1,33,3,0.09090909090909091,0.18181818181818182,0.11363636363636363,1,1
MD,0.2,33,3,0.09090909090909091,0.18181818181818182,0.11363636363636363,1,1
MD,0.3,33,3,0.09090909090909091,0.18181818181818182,0.11363636363636363,1,1
MD,0.4,33,6,0.18181818181818182,0.18181818181818182,0.11363636363636363,1,1
OU,0.1,33,3,0.09090909090909091,0.09090909090909091,0.09090909090909091,2,2
OU,0.2,33,3,0.09090909090909091,0.09090909090909091,0.09090909090909091,2,2
OU,0.3,33,3,0.09090909090909091,0.09090909090909091,0.09090909090909091,2,2
OU,0.4,33,3,0.09090909090909091,0.09090909090909091,0.09090909090909091,2,2
