metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,5.994527109120002,5.994527109120002,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,11.989054218240003,11.989054218240003,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,11.989054218240003,11.989054218240003,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.06993614960640002,0.06993614960640002,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0027247850496000007,0.0027247850496000007,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.009082616832000004,0.009082616832000004,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.04541308416000002,0.04541308416000002,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.018165233664000007,0.018165233664000007,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.027247850496000005,0.027247850496000005,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.21071671050240007,0.21071671050240007,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.107167105024,2.107167105024,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.053583552512,1.053583552512,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,7.029945427968002,7.029945427968002,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.10899140198400002,0.10899140198400002,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.31789158912000004,0.31789158912000004,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,18.165233664000006,18.165233664000006,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.06357831782400002,0.06357831782400002,0.0,fixed_baseline,0,,,
