metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.22355953209256985,4.911462179329054,0.30876156852280523,0.06982965149674113,0.1754713406568008,5.061271103531887,0.3096217943584511,0.08371731372594039
UnemploymentRate_mean,False,,identity,0.22355953209371882,0.04911462179325419,0.30876156853241454,0.06982965150749287,0.17116035064455493,0.05074485103646598,0.31095091569517214,0.08601674073722061
Output_mean,False,,identity,0.4344651310058294,7.161158888160706,0.532622436453701,0.0814241718154868,0.535062201507863,6.493084332633102,0.6274932828630073,0.03518868549406535
Consumption_mean,False,,identity,0.36208726613589426,7.0219890056359375,0.4382364856788622,0.09721543533446649,0.41217148642857904,6.740697433319086,0.47989648731969564,0.06380126302251138
Transfers_mean,False,,identity,0.39840291797091143,0.6308939704510249,0.4780160350144187,0.08899571438490077,0.4408959092064685,0.6082048110441126,0.5244789700174453,0.057075480880186324
AvgPrice_mean,False,,identity,0.7680724193365083,0.034947256673368135,0.8695586978399916,0.09793081775486001,0.928967906444317,0.019340344173426033,0.9345348800190962,0.013109577002810197
AvgMarkup_mean,False,,identity,0.25581001874539944,0.014889590153224,0.3297296082142745,0.04083922635830233,0.2813415977497533,0.014631945940554702,0.3685582388176404,0.07121537551792599
PriceDispersion_mean,False,,identity,0.10526600168872868,0.02037806374489166,0.14928638894729002,0.06583353415557396,0.1064060006181875,0.0203650775526941,0.14369187116950113,0.1323250315059587
InventoryGap_mean,False,,identity,0.2680408646829925,0.139007469604491,0.3597831417659011,0.07850267180137568,0.24795152161033218,0.14090215602394218,0.37179672134188924,0.08400628918537331
SalesForecastError_mean,False,,identity,0.11922251754596513,0.016671072018101384,0.14919832652210174,0.07884032859264278,0.10948781397029994,0.016762946521546872,0.04814787192945127,0.04892170417242626
InventoryTurnover_mean,False,,identity,0.5496506178564131,0.0519114220387453,0.6166246418105473,0.03710764854435713,0.5913720949102925,0.049448389429331024,0.6599534307779633,0.03599395968897714
CreditRejections_mean,False,,identity,0.3193644864292927,2.578636689477048,0.3366867298595967,0.06629848590556413,0.40758531986590496,2.4057237781146803,0.3464248063796666,0.05168224912877059
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.23457647915614765,0.5188172474510754,0.2869833758240962,0.05807419676346923,0.21626061494638105,0.5249879550096408,0.2978668937375891,0.08562769474849598
HH_Debt_mean,False,,log1p,-0.013321141532329328,21.000233778471515,-0.001579968363950157,0.026572701474256995,-0.01769291794669825,21.045485729567012,-0.013935363004623391,0.10729545186640092
HH_Deposit_mean,False,,log1p,0.5897934405200431,0.2901617273164022,0.6033863588427826,0.06703580008260739,0.6949863152384669,0.2502064436132058,0.7409903455123688,0.06001493166556748
Firm_Debt_mean,False,,log1p,-8.754323258486352e-05,0.020587260323029516,-0.01667368467678685,0.019695378452161707,-0.25542444549506627,0.023066135433729713,-0.7778391535083695,0.7048994560908078
Bank_Equity_mean,False,,log1p,-0.02035345657427534,2.441016928126864,-0.05847121244542832,0.04866425066051349,-0.2370083827923264,2.6877061962306628,-0.285104441907723,0.16369160056818918
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.15340235687779125,0.04056004069984743,0.1151421340354994,0.05545584170730206,0.0884199796852877,0.0420878996712239,0.05639030688277291,0.09792737054706785
BankResolutionAmount_mean,False,,identity,0.2014963772106173,0.49314408557576284,0.14777803711027562,0.05618038181544266,0.15304766150060323,0.5078843950644871,0.11362251354977207,0.07671098504794119
BankResolutionHaircut_mean,False,,identity,0.8150853855658056,0.007702087795229223,0.7354311872302898,0.05580157655784198,0.7835010038977603,0.008333948072025955,0.7967431859501746,0.0271944314463694
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.84543192283214,0.09946444884349523,0.81339849044507,0.0408661442920926,0.8185313124724071,0.10777271591438642,0.8497781611709933,0.009172109741612875
Defaults_mean,False,,identity,0.2439973852984062,0.1254508712510686,0.14381326244740697,0.10273838183635237,0.23571529239637556,0.12613616363794783,0.1285971096819252,0.18481521266628279
DefaultsHH_mean,False,,identity,0.2439973852984062,0.1254508712510686,0.14381326244740697,0.10273838183635237,0.2357152923963758,0.12613616363794783,0.1285971096819252,0.18481521266628279
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.8067679892827508,0.0005411122148726023,0.781766142399724,0.07026508449025189,0.8272416091862259,0.000511643399885213,0.8340141605012343,0.03630354823864204
DefaultsFirm_rate,False,,identity,0.37023104292503783,0.000627038780078887,0.422212899982721,0.03351042092458704,0.41681201617502106,0.0006034038266835269,0.44879648075149187,0.05386900047355113
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.4063013963519865,0.023140564263973193,0.5007246579055395,0.10758471570283656,0.5107138942528785,0.021007403273844965,0.5524857710229668,0.07363490538186097
BankBailedOut_share,False,,identity,0.6772379189197385,0.006924168942919795,0.6315011946074347,0.05582882476960642,0.6273079579885777,0.007440488708130672,0.6581277971845874,0.024506730238635553
