component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,63,3,0.047619047619047616,0.09523809523809523,0.07142857142857142,4,4
CU,0.2,63,3,0.047619047619047616,0.09523809523809523,0.07142857142857142,4,4
CU,0.3,63,6,0.09523809523809523,0.09523809523809523,0.07142857142857142,4,4
CU,0.4,63,6,0.09523809523809523,0.09523809523809523,0.07142857142857142,4,4
EV,0.1,63,3,0.047619047619047616,0.47619047619047616,0.27380952380952384,2,2
EV,0.2,63,12,0.19047619047619047,0.47619047619047616,0.27380952380952384,2,2
EV,0.3,63,24,0.38095238095238093,0.47619047619047616,0.27380952380952384,2,2
EV,0.4,63,30,0.47619047619047616,0.47619047619047616,0.27380952380952384,2,2
MD,0.1,63,6,0.09523809523809523,0.5238095238095238,0.36904761904761907,1,1
MD,0.2,63,24,0.38095238095238093,0.5238095238095238,0.36904761904761907,1,1
MD,0.3,63,30,0.47619047619047616,0.5238095238095238,0.36904761904761907,1,1
MD,0.4,63,33,0.5238095238095238,0.5238095238095238,0.36904761904761907,1,1
OU,0.1,63,6,0.09523809523809523,0.42857142857142855,0.25,3,3
OU,0.2,63,9,0.14285714285714285,0.42857142857142855,0.25,3,3
OU,0.3,63,21,0.3333333333333333,0.42857142857142855,0.25,3,3
OU,0.4,63,27,0.42857142857142855,0.42857142857142855,0.25,3,3
