component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,246,0,0.0,0.036585365853658534,0.021341463414634144,4,4
CU,0.2,246,3,0.012195121951219513,0.036585365853658534,0.021341463414634144,4,4
CU,0.3,246,9,0.036585365853658534,0.036585365853658534,0.021341463414634144,4,4
CU,0.4,246,9,0.036585365853658534,0.036585365853658534,0.021341463414634144,4,4
EV,0.1,246,3,0.012195121951219513,0.04878048780487805,0.030487804878048783,3,3
EV,0.2,246,6,0.024390243902439025,0.04878048780487805,0.030487804878048783,3,3
EV,0.3,246,9,0.036585365853658534,0.04878048780487805,0.030487804878048783,3,3
EV,0.4,246,12,0.04878048780487805,0.04878048780487805,0.030487804878048783,3,3
MD,0.1,246,9,0.036585365853658534,0.25609756097560976,0.13719512195121952,1,1
MD,0.2,246,27,0.10975609756097561,0.25609756097560976,0.13719512195121952,1,1
MD,0.3,246,36,0.14634146341463414,0.25609756097560976,0.13719512195121952,1,1
MD,0.4,246,63,0.25609756097560976,0.25609756097560976,0.13719512195121952,1,1
OU,0.1,246,9,0.036585365853658534,0.0975609756097561,0.054878048780487805,2,2
OU,0.2,246,9,0.036585365853658534,0.0975609756097561,0.054878048780487805,2,2
OU,0.3,246,12,0.04878048780487805,0.0975609756097561,0.054878048780487805,2,2
OU,0.4,246,24,0.0975609756097561,0.0975609756097561,0.054878048780487805,2,2
