param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.643075099644651,0.8429431210747156,0.6513536578529956,0.834261062331112,42.89485101998157
alpha_std,0.03,0.13,0.0507176182687863,0.1055003056968471,0.0536385977829468,0.1028152884439916,45.2173125719392
wage,0.9,1.45,0.9790069864487194,1.1274547996821107,0.9856377037579752,1.1172082102034293,73.00948850301975
productivity,0.95,1.95,1.0426125002007391,1.1974735739809406,1.0496000519983482,1.1842833061724074,84.51389262197986
loan_rate,0.012,0.073,0.0235291684511393,0.0571025253237216,0.0259891715515502,0.0558052459703413,44.961710044947054
deposit_rate,0.001,0.028,0.006879078645066,0.0225033198946569,0.0076237413173264,0.0216844294714284,42.13243981632999
bank_credit_multiplier,4.2,14.0,6.6449084247845045,11.839494004621042,6.9026203715361145,11.61469258693502,46.99402469554555
hh_debt_cap_multiplier,2.1,4.8,2.7577863155487403,4.247534662523247,2.84422447918223,4.184754972853963,44.824135297240495
firm_debt_cap_multiplier,1.6,4.8,2.2224138791204835,4.096457650672496,2.3093836179161844,4.004491563948684,41.4361321389996
adaptation_rate,0.25,0.95,0.4222147449983422,0.814151214745157,0.4381179148065631,0.7923200541708613,44.00907575045504
price_elasticity,0.95,2.9,1.3413434200287255,2.4498284483237613,1.3983933451940438,2.4040895560106774,43.1546139335879
skill_wage_weight,0.03,0.49,0.1283015163742205,0.3986815191832769,0.1428384273559753,0.3854125343158064,41.22173851977035
demand_smoothing,0.06,0.35,0.116455074068941,0.2839518343608214,0.1251096411892516,0.2748891866439597,42.24249645107573
price_adjust_speed,0.08,0.45,0.1546009573786933,0.3579144687639441,0.1640835934836025,0.3496199478535907,45.05040232831059
price_stickiness,0.45,0.9,0.5418678127337822,0.790054102323715,0.5517000236519978,0.7770830448106898,44.84749120223716
max_price_step,0.04,0.22,0.0794015103824315,0.1803812007216597,0.0845091093205074,0.1760021681474844,43.90017203376211
inventory_target_days,0.8,2.8,1.248050939679091,2.3556489684884427,1.310479569458219,2.2899902937695344,44.62009855953241
demand_expectation_memory,0.15,0.65,0.2597019555647016,0.5588255763222234,0.2727516411635576,0.5458833309726614,40.17527584849564
max_hire_per_step,3.0,12.0,4.718189721129531,10.140595860430178,5.009280762772144,9.913595491513,39.75104289665947
max_fire_per_step,3.0,12.0,4.76114023014475,9.902133780822687,5.000494413219372,9.64411856876701,42.877849436911795
hh_max_dsr,0.2,0.65,0.3112789780140578,0.5535738299257259,0.3214788941087489,0.5437766113298378,46.15669957518487
firm_max_dsr,0.6,2.2,0.9214100858575636,1.804796085661787,0.9689837980766094,1.7651207189145186,44.78837501223604
firm_reentry_lag,0.0,4.0,0.8844088213904873,3.13660075475979,0.9999578627149096,3.0362559736366173,43.695201665767435
firm_reentry_cash_fraction,0.2,0.85,0.3335683371808622,0.7323639479653618,0.3531544696718694,0.7161068032871897,38.646829110076986
consumption_memory,0.15,0.75,0.2726340639834642,0.6152792202716422,0.2900225675517757,0.5985713732753698,42.89247395197033
precautionary_saving,0.03,0.35,0.0991380957338233,0.2784914163551781,0.1072382603377546,0.2677366942082201,43.95208730582662
consumption_floor_prop,0.0,0.35,0.0830193503839242,0.2815531059485183,0.094329819046689,0.2719459984961614,43.276069838687405
consumption_ceiling_prop,1.0,2.8,1.3437546893425472,2.414575819236398,1.3982495617131858,2.359145530319493,40.5099372281194
unemployed_consumption_penalty,0.05,0.45,0.1146378430657118,0.3559326419809367,0.1296525800929474,0.3438149487227898,39.676300271193774
unemployment_transfer,0.0,0.25,0.0557655799592558,0.195356089310884,0.0630737177854535,0.1888688932668901,44.16379625934872
