component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,879,24,0.027303754266211604,0.08532423208191127,0.05716723549488055,4,4
CU,0.2,879,45,0.051194539249146756,0.08532423208191127,0.05716723549488055,4,4
CU,0.3,879,57,0.06484641638225255,0.08532423208191127,0.05716723549488055,4,4
CU,0.4,879,75,0.08532423208191127,0.08532423208191127,0.05716723549488055,4,4
EV,0.1,879,39,0.04436860068259386,0.13310580204778158,0.08873720136518773,3,3
EV,0.2,879,63,0.07167235494880546,0.13310580204778158,0.08873720136518773,3,3
EV,0.3,879,93,0.10580204778156997,0.13310580204778158,0.08873720136518773,3,3
EV,0.4,879,117,0.13310580204778158,0.13310580204778158,0.08873720136518773,3,3
MD,0.1,879,51,0.05802047781569966,0.20136518771331058,0.13054607508532423,2,2
MD,0.2,879,93,0.10580204778156997,0.20136518771331058,0.13054607508532423,2,2
MD,0.3,879,138,0.15699658703071673,0.20136518771331058,0.13054607508532423,2,2
MD,0.4,879,177,0.20136518771331058,0.20136518771331058,0.13054607508532423,2,2
OU,0.1,879,105,0.11945392491467577,0.5017064846416383,0.2892491467576792,1,1
OU,0.2,879,186,0.21160409556313994,0.5017064846416383,0.2892491467576792,1,1
OU,0.3,879,285,0.3242320819112628,0.5017064846416383,0.2892491467576792,1,1
OU,0.4,879,441,0.5017064846416383,0.5017064846416383,0.2892491467576792,1,1
