metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,3.3872445627079073,,0.9,25.0,11.473425727594282,17.001259259259303,seed_replicates,350,True,
Output_mean,80.0,10.0,6.774489125415815,,0.9,100.0,45.89370291037713,29.34434652432414,seed_replicates,350,True,
Consumption_mean,80.0,10.0,6.774489125415815,,0.9,100.0,45.89370291037713,30.46367517698202,seed_replicates,350,True,
AvgPrice_mean,1.05,0.05,0.03951785323159226,,0.9,0.0025000000000000005,0.0015616607240336667,0.00035092969338566544,seed_replicates,350,True,
DefaultsHH_rate,0.004,0.002,0.0015396566194126856,,0.9,4e-06,2.370542505701299e-06,1.4552341597796563e-06,seed_replicates,350,True,
BankFailed_share,0.0,0.01,0.005132188731375617,,0.9,0.0001,2.633936117445887e-05,0.0,seed_replicates,350,True,
BankResolved_share,0.05,0.03,0.025660943656878096,,0.9,0.0009,0.0006584840293614722,0.0010743801652892547,seed_replicates,350,True,
BankResolutionHaircut_mean,0.02,0.01,0.010264377462751235,,0.9,0.0001,0.00010535744469783548,5.345745135596261e-05,seed_replicates,350,True,
BankBailedOut_share,0.02,0.02,0.01539656619412685,,0.9,0.0004,0.00023705425057012977,4.8209366391184365e-05,seed_replicates,350,True,
BankBailoutAmount_mean,0.2,0.2,0.11906677856791435,,0.9,0.04000000000000001,0.014176897758540748,0.01393686880541414,seed_replicates,350,True,
Transfers_mean,6.5,2.0,1.1906677856791432,,0.9,4.0,1.417689775854074,0.19255441163114007,seed_replicates,350,True,
HH_Deposit_mean,1.5,1.0,0.5953338928395716,,0.9,1.0,0.3544224439635185,0.12074661728139714,seed_replicates,350,True,
Bank_Equity_mean,10.0,7.5,3.972314078084729,,0.9,56.25,15.779279134950128,16.725330288645537,seed_replicates,350,True,
PriceDispersion_mean,0.1,0.06,0.0615862647765074,,0.9,0.0036,0.0037928680091220764,0.0003838335468372237,seed_replicates,350,False,
InventoryGap_mean,0.0,0.25,0.1796266055981466,,0.9,0.0625,0.032265717438712115,0.011403679856053109,seed_replicates,350,False,
CreditRejections_mean,80.0,10.0,10.264377462751238,,0.9,100.0,105.35744469783553,405.65877777777797,seed_replicates,350,False,
FirmDowntimeShare_mean,0.05,0.04,0.03592532111962933,,0.9,0.0016,0.0012906286975484852,0.0,seed_replicates,350,False,
