component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,406,0,0.0,0.007389162561576354,0.0018472906403940886,4,4
CU,0.2,406,0,0.0,0.007389162561576354,0.0018472906403940886,4,4
CU,0.3,406,0,0.0,0.007389162561576354,0.0018472906403940886,4,4
CU,0.4,406,3,0.007389162561576354,0.007389162561576354,0.0018472906403940886,4,4
EV,0.1,406,0,0.0,0.059113300492610835,0.019704433497536946,2,3
EV,0.2,406,3,0.007389162561576354,0.059113300492610835,0.019704433497536946,2,3
EV,0.3,406,5,0.012315270935960592,0.059113300492610835,0.019704433497536946,2,3
EV,0.4,406,24,0.059113300492610835,0.059113300492610835,0.019704433497536946,2,3
MD,0.1,406,9,0.022167487684729065,0.1921182266009852,0.11945812807881773,1,1
MD,0.2,406,45,0.11083743842364532,0.1921182266009852,0.11945812807881773,1,1
MD,0.3,406,62,0.15270935960591134,0.1921182266009852,0.11945812807881773,1,1
MD,0.4,406,78,0.1921182266009852,0.1921182266009852,0.11945812807881773,1,1
OU,0.1,406,0,0.0,0.04187192118226601,0.021551724137931036,3,2
OU,0.2,406,6,0.014778325123152709,0.04187192118226601,0.021551724137931036,3,2
OU,0.3,406,12,0.029556650246305417,0.04187192118226601,0.021551724137931036,3,2
OU,0.4,406,17,0.04187192118226601,0.04187192118226601,0.021551724137931036,3,2
